0000,DELAY_A,0,15,1,-1024,1024,Y,N,N,0
0001,DELAY_C,0,15,1,-1024,1024,Y,N,N,0
0002,LASER_DELAY,0,15,1,-1024,1024,Y,N,N,0
0003,ATTENUATOR_BUSY,14,14,1,0,1,N,N,N,0
0003,ATTENUATOR_POSITION_SETTING,0,13,1,0,12000,N,N,N,0
0003,ATTENUATOR_NOT_FOUND,15,15,1,0,1,N,N,N,0
0004,SWITCH_PMT,0,0,1,0,1,N,N,N,0
0004,SWITCH_SCINTILLATOR,1,1,1,0,1,N,N,N,0
0004,SWITCH_3,2,2,1,0,1,N,N,N,0
0004,SWITCH_4,3,3,1,0,1,N,N,N,0
0005,BOARD_TEMPERATURE,0,15,1,10,70,N,N,Y,0
0007,BOARD_SERIAL_NUMBER,8,15,1,0,511,N,N,Y,0
0007,BOARD_SUBDETECTOR_TYPE,0,1,1,0,3,N,N,Y,0
0008,VERTEX_TIME_LOW_THRESHOLD,0,9,1,-512,511,Y,N,N,0
0009,VERTEX_TIME_HIGH_THRESHOLD,0,9,1,-512,511,Y,N,N,0
000A,SEMI_CENTRAL_LEVEL_A,0,15,1,0,65535,N,N,N,0
000B,SEMI_CENTRAL_LEVEL_C,0,15,1,0,65535,N,N,N,0
000C,CENTRAL_LEVEL_A,0,15,1,0,65535,N,N,N,0
000D,CENTRAL_LEVEL_C,0,15,1,0,65535,N,N,N,0
000E,MODE_SEMICENTRAL_EVALUATION,8,8,1,0,1,N,N,N,0
000E,MODE_CORRELATION_COUNTER_SELECT,4,7,1,0,15,N,N,N,0
000E,MODE_EXTENDED_READOUT,3,3,1,0,1,N,N,N,0
000E,MODE_RESET_PER_BC_TRIGGER_COUNTER,10,10,1,0,1,N,N,N,0
000E,MODE_TRIGGERS,9,9,1,0,1,N,N,N,0
000E,MODE_SIDES_COMBINATION,1,2,1,0,3,N,N,N,0
000E,MODE_C_SIDE_DELAY,0,0,1,0,1,N,N,N,0
000F,BOARD_STATUS_PMC4_STATUS_CHANGED,26,26,1,0,1,N,N,N,0
000F,BOARD_STATUS_PMC5_STATUS_CHANGED,27,27,1,0,1,N,N,N,0
000F,BOARD_STATUS_PMC6_STATUS_CHANGED,28,28,1,0,1,N,N,N,0
000F,BOARD_STATUS_PMC7_STATUS_CHANGED,29,29,1,0,1,N,N,N,0
000F,BOARD_STATUS_PMC8_STATUS_CHANGED,30,30,1,0,1,N,N,N,0
000F,BOARD_STATUS_PMC3_STATUS_CHANGED,25,25,1,0,1,N,N,N,0
000F,BOARD_STATUS_PMC2_STATUS_CHANGED,24,24,1,0,1,N,N,N,0
000F,BOARD_STATUS_PMC1_STATUS_CHANGED,23,23,1,0,1,N,N,N,0
000F,BOARD_STATUS_PMC0_STATUS_CHANGED,22,22,1,0,1,N,N,N,0
000F,BOARD_STATUS_PMA9_STATUS_CHANGED,21,21,1,0,1,N,N,N,0
000F,BOARD_STATUS_PMA8_STATUS_CHANGED,20,20,1,0,1,N,N,N,0
000F,BOARD_STATUS_PMA7_STATUS_CHANGED,19,19,1,0,1,N,N,N,0
000F,BOARD_STATUS_PMA6_STATUS_CHANGED,18,18,1,0,1,N,N,N,0
000F,BOARD_STATUS_PMA5_STATUS_CHANGED,17,17,1,0,1,N,N,N,0
000F,BOARD_STATUS_PMA4_STATUS_CHANGED,16,16,1,0,1,N,N,N,0
000F,BOARD_STATUS_PMA3_STATUS_CHANGED,15,15,1,0,1,N,N,N,0
000F,BOARD_STATUS_PMA2_STATUS_CHANGED,14,14,1,0,1,N,N,N,0
000F,BOARD_STATUS_PMA1_STATUS_CHANGED,13,13,1,0,1,N,N,N,0
000F,BOARD_STATUS_PMA0_STATUS_CHANGED,12,12,1,0,1,N,N,N,0
000F,BOARD_STATUS_RESET_SYSTEM,11,11,1,0,1,N,N,N,0
000F,BOARD_STATUS_FORCE_LOCAL_CLOCK,10,10,1,0,1,N,N,N,0
000F,BOARD_STATUS_RESET_COUNTERS,9,9,1,0,1,N,N,N,0
000F,BOARD_STATUS_DROPPING_HITS,8,8,1,0,1,N,N,N,0
000F,BOARD_STATUS_BCID_SYNC_LOST,7,7,1,0,1,N,N,N,0
000F,BOARD_STATUS_GBT_RX_PHASE_ERROR,6,6,1,0,1,N,N,N,0
000F,BOARD_STATUS_GBT_RX_ERROR_DETECTED,5,5,1,0,1,N,N,N,0
000F,BOARD_STATUS_GBT_RX_READY,4,4,1,0,1,N,N,N,0
000F,BOARD_STATUS_ACTUAL_CLOCK_SOURCE,3,3,1,0,1,N,N,N,0
000F,BOARD_STATUS_PMC9_STATUS_CHANGED,31,31,1,0,1,N,N,N,0
000F,BOARD_STATUS_PLL_LOCK_A,1,1,1,0,1,N,N,N,1
000F,BOARD_STATUS_PLL_LOCK_C,0,0,1,0,1,N,N,N,1
000F,BOARD_STATUS_SYSTEM_RESTARTED,2,2,1,0,1,N,N,N,0
0010,PMA0_LINE_3_SIGNAL_STABLE,30,30,1,0,1,N,N,Y,0
0010,PMA0_LINE_3_SIGNAL_LOST,29,29,1,0,1,N,N,Y,0
0010,PMA0_LINE_3_DELAY,24,28,1,0,31,N,N,Y,0
0010,PMA0_BIT_POSITION_OK,23,23,1,0,1,N,N,Y,0
0010,PMA0_LINE_2_SIGNAL_STABLE,22,22,1,0,1,N,N,Y,0
